artigoEmPeriodico	 	2018	2175-294X		A DITADURA MILITAR NO DISCURSO MIDIÁTICO: UMA ABORDAGEM DISCURSIVA NA EDUCAÇÃO DE JOVENS E ADULTOS	INVESTIGAÇÕES (ONLINE)	AMARAL, P.L.F. ; FERNANDES, Carolina	Qualis nao identificado	INVESTIGAÇÕES (ONLINE)
artigoEmPeriodico	 	2018	1808-2793	http://dx.doi.org/10.14808/sci.plena.2018.015701	A formação de professores em grupos de estudos e pesquisas pelo conviver espontâneo	SCIENTIA PLENA	Aragon Aseff, Dionara Teresinha; RODRIGUES, SHEYLA COSTA	B2	
artigoEmPeriodico	 	2018	2177-2894	http://dx.doi.org/10.15536/thema.15.2018.213-227.780	Grupos de estudos e pesquisas: espaços de formação e profissionalização docente	REVISTA THEMA	ARAGON ASEFF, DIONARA; RODRIGUES, SHEYLA	B4	
artigoEmPeriodico	 	2018	2236-2592		As percepções de universitários brasileiros sobre a aprendizagem e/ou aperfeiçoamento simultâneo da competência linguístico-comunicativa do inglês e espanhol: facilidades,dificuldades e estratégias	Percursos Linguísticos (UFES)	BACK, E. ; DUTRA, Eduardo de Oliveira	Qualis nao identificado	Percursos Linguísticos (UFES)
artigoEmPeriodico	 	2018	0957-4522	http://dx.doi.org/10.1007/s10854-018-9786-5	Electrochemical, UV-Vis, and microscopical characteristics of sol-gel CeO2:V2O5 thin film	JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS	BALBONI, R. D. C. ; LEMOS, R. M. J. ; MOURA, E. A. ; CHOLANT, C. M. ; AZEVEDO, C. F. ; CALDEIRA, I. M. ; GÜNDEL, A. ; FLORES, W. H. ; PAWLICKA, A. ; AVELLANEDA, C. O.	Qualis nao identificado	JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS
artigoEmPeriodico	 	2018	2594-4576		JOGO BOMBARDEIO MATEMÁTICO: REVISANDO OPERAÇÕES BÁSICAS COM NÚMEROS DECIMAIS	Revista Educacional Interdisciplinar	BARBOSA, C. B. ; FAGUNDES, D. S. ; D?AVILA, J. A. ; MENEGAIS, Denice Aparecida Fontana Nisxota	B4	REVISTA EDUCACIONAL INTERDISCIPLINAR
artigoEmPeriodico	 	2018	2525-4782	http://dx.doi.org/10.21575/25254782rmetg2018vol3n2542	APLICAÇÃO DA ANÁLISE DE FOURIER LOCAL E DA TEORIA DA ENTROPIA NO ESTUDO DO REGIME DE CHUVAS NA REGIÃO DE BAGÉ-RS	Revista Mundi Engenharia, Tecnologia e Gestão (ISSN: 2525-4782)	BARRETO NUNES OLEQUES, NÍVEA MARIA ; A. KALAS, FRANCINE ; DUARTE FERREIRA, VERA LÚCIA ; DIAS, FERNANDO LUIS	Qualis nao identificado	Revista Mundi Engenharia, Tecnologia e Gestão (ISSN: 2525-4782)
artigoEmPeriodico	 	2018	2177-1960		O contradiscurso ou discurso carnavalizado e a infância transgressora da linguagem em Manoel de Barros	CENÁRIOS: REVISTA DE ESTUDOS DA LINGUAGEM	BASTOS, N. S. ; CAMARGOS, M. L. ; Giovani, Fabiana	C	
artigoEmPeriodico	 	2018	2177-5796		A organização da Instrução Pública Municipal na década de 1920 no Município de Bagé/RS	QUAESTIO: REVISTA DE ESTUDOS DE EDUCAÇÃO	BICA, Alessandro C	B1	
artigoEmPeriodico	 	2018	1982-2960		USO DE MÉTODOS NUMÉRICOS NA QUANTIFICAÇÃO DE GLICOSE DA HIDRÓLISE DA LACTOSE PARA OBTENÇÃO DE GALACTO-OLIGOSSACARÍDEOS	REVISTA CONGREGA URCAMP (CD-ROM)	BLASS, LEANDRO; MANERA, A. P. ; BIHAIN, A. L. J. ; SOARES, G. S. ; SILVA, E. J. G. ; OLIVEIRA, M. S.	Qualis nao identificado	REVISTA CONGREGA URCAMP (CD-ROM)
artigoEmPeriodico	 	2018	1982-2960		EQUAÇÃO DIFERENCIAL PARA UMA MODELAGEM CINÉTICA DE REAÇÃO	REVISTA CONGREGA URCAMP (CD-ROM)	BLASS, LEANDRO; MANERA, A. P. ; COLPO, A. S. ; BIHAIN, A. L. J. ; SILVA, E. J. G. ; OLIVEIRA, M. S.	Qualis nao identificado	REVISTA CONGREGA URCAMP (CD-ROM)
