artigoEmPeriodico	 	2018	1983-1579	http://dx.doi.org/10.22478/ufpb.1983-1579.2018v3n11.42394	EDUCAÇÃO AMBIENTAL E INTERCULTURA - pensando um currículo a partir dos trópicos	Revista Espaço do Currículo	BARCELOS, V. H. L. ; MADERS	B2	REVISTA ESPAÇO DO CURRÍCULO (ONLINE)
artigoEmPeriodico	 	2018	2175-1609		DESAFIOS DA EDUCAÇÃO INCLUSIVA NO ENSINO SUPERIOR: UM RETRATO DAS POLÍTICAS INSTITUCIONAIS DAS UNIVERSIDADES FEDERAIS DO SUL DO BRASIL	REV. TRIANGULO	BRIZOLLA, F.; MARTINS, C. S. L.	B4	
artigoEmPeriodico	 	2018	1809-1636		PROMOÇÃO DA SAÚDE E O USO DE PLANTAS MEDICINAIS NO CONTEXTO ESCOLAR: UM RELATO DE CASO	VIVÊNCIAS (URI. ERECHIM)	BRIZZOLLA, J. C. ; COUTINHO, C. ; AMARAL, C. P. ; GINDRI, A. L.	B5	
artigoEmPeriodico	 	2018	1809-1636		QUESTÕES DE GÊNERO E SEXUALIDADE ALIADOS AO ENSINO DE GENÉTICA: UMA PROPOSTA PEDAGÓGICA	VIVÊNCIAS (URI. ERECHIM)	COUTINHO, C.; FLORES, A. L. D. ; RUPPENTHAL, R. ; LORENZINI, A. C. R.	B5	
artigoEmPeriodico	 	2018	1808-2688		Taxonomic novelties in Calydorea IV	BALDUINIA (UFSM)	DEBLE, L. P.; DEBLE, A. S. O. ; Alves, F. da S. ; Garcia, L. F.	Qualis nao identificado	BALDUINIA (UFSM)
artigoEmPeriodico	 	2018	1983-2117	http://dx.doi.org/10.1590/1983-21172018200113	ESCOLAS DO CAMPO: UM OLHAR SOBRE A LEGISLAÇÃO E PRÁTICA SIMPLEMENTADAS NO ENSINO DE FÍSICA	ENSAIO: PESQUISA EM EDUCAÇÃO EM CIÊNCIAS (ONLINE)	DIAS, F. F.; LEONEL, A. A.	A2	
artigoEmPeriodico	 	2018	2178-9770	http://dx.doi.org/10.18554/cimeac.v8i2.2989	O ensino de Física nas escolas do campo: reflexões sobre o currículo / The teaching of physics in countryside schools: reflections on the curriculum	CADERNOS CIMEAC	DIAS, FRANCIELE FRANCO; LEONEL, ANDRÉ ARY	B2	
artigoEmPeriodico	 	2018	1809-3264		Concepções dos professores do município de Dom Pedrito ?RS sobre a temática plantas medicinais	Revista Querubim (Online)	FERREIRA, V. E. M. ; BIERHALZ, Crisna Daniela K. ; LUZ, F. A.	B3	REVISTA QUERUBIM (ONLINE)
artigoEmPeriodico	 	2018	2526-9542		Reflexões no Ensino de Ciências: Elaboração e Análise de Materiais Didáticos	Revista de Produtos Educacionais e Pesquisas em Ensino	FONSECA, E. M. ; DUSO, Leandro	Qualis nao identificado	Revista de Produtos Educacionais e Pesquisas em Ensino
artigoEmPeriodico	 	2018	2238-8079		A discussão da abordagem temática: estado do conhecimento no ensino de ciências	Tear: Revista de Educação, Ciência e Tecnologia	FONSECA, E. M. ; LINDEMANN, R. H. ; DUSO, Leandro	B5	TEAR: REVISTA DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA
artigoEmPeriodico	 	2018	2175-6600	http://dx.doi.org/10.28998/2175-6600.2018v10n20p199	PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO A DOCÊNCIA: ANÁLISE DAS PUBLICAÇÕES DO ENPEC	DEBATES EM EDUCAÇÃO	FONSECA, ERIL MEDEIROS DA ; BIERHALZ, Daniela Krause	B5	
artigoEmPeriodico	 	2018	2448-3583		O CONTEXTO LOCAL COMO ELO ENTRE CIÊNCIAS DA NATUREZA E EDUCAÇÃO DO CAMPO	Educação e Formação	FONSECA. Eril M. ; BIERHALZ, Crisna Daniela K.	Qualis nao identificado	Educação e Formação
artigoEmPeriodico	 	2018	0073-4721	http://dx.doi.org/10.1590/1678-4766e2018015	Gall-inducing insects of deciduous and semideciduous forests in Rio Grande do Sul State, Brazil	IHERINGIA SERIE ZOOLOGIA	GOETZ, A. P. M. ; LUZ, F. A. ; TOMA, T. S. P. ; Souza-Júnior, M, M	Qualis nao identificado	IHERINGIA SERIE ZOOLOGIA
artigoEmPeriodico	 	2018	2236-7934		Educação em agroecologia: do currículo prescrito ao currículo praticado - a experiência do Curso de Educação do Campo - UNIPAMPA	Cadernos Agroecológicos	GONZAGA, J. G. F. ; HANKE, D. ; PUPO, M. A. V. ; DALBIANCO, V. P.	Qualis nao identificado	Cadernos Agroecológicos
artigoEmPeriodico	 	2018	2177-6229		Antropologia como educação: um diálogo sobre experiências de ensino da antropologia em cursos de formação de professores e seus desafios	Revista Ciências Sociais Unisinos	JESUS, S. C. de; BRUM, C. K.	B5	REVISTA CIÊNCIAS SOCIAIS UNISINOS
artigoEmPeriodico	 	2018	1205-7541	http://dx.doi.org/10.1139/cjpp-2017-0207	Protective effect of (-)-α-Bisabolol on rotenone-induced toxicity in <i>Drosophila melanogaster</i>	CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (ONLINE)	LEITE, GERLÂNIA DE OLIVEIRA ; ECKER, ASSIS ; SEEGER, R. L. ; KRUM, BÁRBARA NUNES ; LUGOKENSKI, THIAGO HENRIQUE ; FACHINETTO, ROSELEI ; SUDATI, J. H. ; BARBOSA, NILDA VARGAS ; WAGNER, CAROLINE	Qualis nao identificado	CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (ONLINE)
artigoEmPeriodico	 	2018	2237-4450	http://dx.doi.org/10.31512/encitec.v8i1.2281	Elaboração de Sequências Didáticas sobre o Ensino de Zoologia: perspectivas e concepções em construção	ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA	MEDEIROS DA FONSECA, ERIL ; DUSO, LEANDRO	B5	
artigoEmPeriodico	 	2018	2527-2624		Agrotóxicos no ensino de química: proposta contextualizada através de um jogo didático	www.revistas.unila.edu.br/relusRevista eletrônicaLudus Scientiae -(RELuS)	MELLO, L. F. ; FONSECA, E. M. ; DUSO, Leandro	Qualis nao identificado	www.revistas.unila.edu.br/relusRevista eletrônicaLudus Scientiae -(RELuS)
artigoEmPeriodico	 	2018	1809-3264		PORTFÓLIO: UMA ANÁLISE ACERCA DAS CONCEPÇÕES TEÓRICAS	Revista Querubim (Online)	MENA, L. P. ; BIERHALZ, Crisna Daniela K.	B3	REVISTA QUERUBIM (ONLINE)
artigoEmPeriodico	 	2018	1579-1513		Tendências do ensino e aprendizagem de forças intermoleculares a partir da análise de publicações em periódicos nacionais e internacionais	REEC. REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS	MIRANDA, A. C. G. ; BRAIBANTE, M. E. F. ; PAZINATO, M. S.	A2	
