artigoEmPeriodico	Alex Sandro Gomes Leao	2018	1809-1636		A APRENDIZAGEM SIGNIFICATIVA EM UM CONTEXTO MATEMÁTICO: ESTUDOS SOBRE O CONCEITO DE ÁREA	VIVÊNCIAS (URI. ERECHIM)	LEÃO, A. S. G.; PESSANO, E. F. C. ; CERETA, A. S. ; BORTOLUZZI, L. R.	B5	
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		DO ARROZ AO FEIJÃO: OS EFEITOS ECONÔMICOS DA CESTA BÁSICA NA ECONOMIA ITAQUIENSE1	IV Seminário Internacional de Ciências Sociais - Ciência Política - Buscando o Sul	LEÃO, A. S. G.; ALMEIDA, M. G. S. ; LEAO, A. P. F.	Qualis nao identificado	IV Seminário Internacional de Ciências Sociais - Ciência Política - Buscando o Sul
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		A aprendizagem significativa num contexto matemático: estudos sobre o conceito de área	I Encontro Regional de Ensino de Ciências	LEÃO, A. S. G.; CERETA, A. S.	Qualis nao identificado	I Encontro Regional de Ensino de Ciências
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		A Resolução de Problemas como proposta metodológica para o ensino de trigonometria no triângulo retângulo	I Encontro Regional de Ensino de Ciências	LEÃO, A. S. G.; ESPINDOLA, G. M. ; DALCIN, M. M. ; LEON, F. A.	Qualis nao identificado	I Encontro Regional de Ensino de Ciências
resumoExpandidoEmCongresso	Alisson Daros Santos	2018	Latex: desvendando novas ferramentas para a edição e apresentação de textos científicos	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	DARÓS, ALISSON; CARA, E. R. ; ALVES, R. ; GRACES, M.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Alisson Daros Santos	2018	Monitoria na Disciplina de Cálculo Diferencial e Integral	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	DARÓS, ALISSON; SOUZA, E. K. M.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
artigoEmPeriodico	Charles Quevedo Carpes	2016	0377-0427	http://dx.doi.org/10.1016/j.cam.2015.01.022	Numerical analysis of the acoustics of a diffusion flame	Journal of Computational and Applied Mathematics	CARPES, CHARLES QUEVEDO; de Bortoli, Álvaro Luiz	Qualis nao identificado	Journal of Computational and Applied Mathematics
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		Representações de gêneros sociais: análise da imagem em exemplares da revista Jornal da Mulher	8 º Salão Internacional de Ensino	LIMA, A. B. ; ALVES, A. J. L. ; LOVATO, C. S.	Qualis nao identificado	8 º Salão Internacional de Ensino
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		Produtos culturais destinados ao público feminino e à natureza feminina: análise da ação do discurso	8º Salão Internacional de Ensino	ALVES, A. J. L. ; LIMA, A. B. ; LOVATO, C. S.	Qualis nao identificado	8º Salão Internacional de Ensino
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		UNIESCOLA: uma proposta de integração entre universidade e escola	Salão Internacional de Ensino	CAMARGO, M. ; LOVATO, C. S.	Qualis nao identificado	Salão Internacional de Ensino
artigoEmPeriodico	Deise Pedroso Maggio	2018	1518-8221		Argumentação na Abordagem do Pensamento Funcional no Ensino Fundamental: Análise de atividades em um livro didático de matemática	EDUCAÇÃO MATEMÁTICA EM REVISTA-RS	SILVA, J. G ; MAGGIO, D.P ; NEHRING, C. M.	B5	
