artigoEmPeriodico	Adriana Hartemink Cantini	2018	1516-0351	http://dx.doi.org/10.12957/rqi.2018.29106	Por que estão me internando? Um estudo sobre os critérios utilizados para a imposição da medida socioeducativa de internação na comarca de São Borja	REVISTA QUAESTIO IURIS	CANTINI, ADRIANA HARTEMINK; VITÓRIO, VANIA CRISTINA RODRIGUES	Qualis nao identificado	REVISTA QUAESTIO IURIS
artigoEmPeriodico	Adriana Hartemink Cantini	2018	2447-0244		O Serviço Social e o Campo da Educação: contribuições para uma cultura da paz	MISSÕES: REVISTA DE CIÊNCIAS HUMANAS E SOCIAIS	OLIVEIRA, Simone Barros ; CANTINI, Hartemink, Adriana ; SANTOS, Ana Carolina Vaz dos	B3	REVISTA DE CIÊNCIAS HUMANAS
artigoEmPeriodico	Adriana Hartemink Cantini	2018	2447-0244		Desconstruindo a concepção de direitos humanos e compreendendo o sistema de proteção	MISSÕES: REVISTA DE CIÊNCIAS HUMANAS E SOCIAIS	CANTINI, Hartemink, Adriana; OLIVEIRA, Simone Barros	B3	REVISTA DE CIÊNCIAS HUMANAS
artigoEmPeriodico	Adriana Hartemink Cantini	2017	1807-1260		A política pública da mediação e da conciliação na fronteira Brasil-Argentina	Intellector (CENEGRI)	CANTINI, Hartemink, Adriana; ESPINDOLA, C. C. ; ALLENDE, M. P.	Qualis nao identificado	Intellector (CENEGRI)
artigoEmPeriodico	Adriana Hartemink Cantini	0	1983-747X	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Direitos Culturais e Políticas Públicas: uma discussão em aberto	Revista Eletrônica Investidura	CANTINI, Hartemink, Adriana	Qualis nao identificado	Revista Eletrônica Investidura
trabalhoCompletoEmCongresso	Adriana Hartemink Cantini	2016		Fórum Permanente de Direitos Humanos Brasil/Argentina: O relato de uma experiência	8º congresso Internacional CEISAL 2016. Tiempos posthegemónicos: sociedad	CANTINI, Hartemink, Adriana; MACHADO, L. M. O.	Qualis nao identificado	8º congresso Internacional CEISAL 2016. Tiempos posthegemónicos: sociedad
artigoEmPeriodico	Alice Hirschmann	2017	1982-0224	http://dx.doi.org/10.1590/1982-0224-20160073	Ontogenetic changes in mouth morphology triggers conflicting hypotheses of relationships in characid fishes (Ostariophysi: Characiformes)	Neotropical Ichthyology	HIRSCHMANN, A.; FAGUNDES, N. J. R. ; MALABARBA, L. R.	Qualis nao identificado	Neotropical Ichthyology
artigoEmPeriodico	Alice Hirschmann	0	1175-5326	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Photography-based taxonomy is inadequate, unnecessary, and potentially harmful for biological sciences	Zootaxa (Auckland. Print)	CERIACO, L. M. P. ; GUTIERREZ, E. E. ; DUBOIS, A. ; others 488 researchers ; HIRSCHMANN, A. ; MALABARBA, L. R.	Qualis nao identificado	Zootaxa (Auckland. Print)
artigoEmPeriodico	Alice Hirschmann	0	0300-3256	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1111/zsc.12106&md5=aaf04fe9d265425a2d2a7f23525544d8	Riverine habitat specificity constrains dispersion in a Neotropical fish (Characidae) along Southern Brazilian drainages	Zoologica Scripta	HIRSCHMANN, A.; MALABARBA, L. R. ; THOMAZ, A. ; FAGUNDES, N. J. R.	Qualis nao identificado	Zoologica Scripta
artigoEmPeriodico	Alice Hirschmann	0	0073-4721	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s0073-47212008000400011&md5=77a4db25a9bdedb4bff6bb12962d163a	Alterações na ictiocenose do rio Forqueta em função da instalação da Pequena Central Hidrelétrica Salto Forqueta, Putinga, Rio Grande do Sul	Iheringia. Série Zoologia (Impresso)	HIRSCHMANN, A.; MAJOLO, M. A. ; GRILLO, H. C. Z.	Qualis nao identificado	Iheringia. Série Zoologia (Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	2018	1678-4685	http://dx.doi.org/10.1590/1678-4685-gmb-2017-0048	Repetitive DNAs and shrink genomes: A chromosomal analysis in nine Columbidae species (Aves, Columbiformes)	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)	KRETSCHMER, RAFAEL ; DE OLIVEIRA, THAYS DUARTE ; DE OLIVEIRA FURO, IVANETE ; OLIVEIRA SILVA, FABIO AUGUSTO ; GUNSKI, Ricardo José ; DEL VALLE GARNERO, ANALÍA ; DE BELLO CIOFFI, MARCELO ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA ; DE FREITAS, THALES RENATO OCHOTORENA	Qualis nao identificado	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)
