artigoEmPeriodico	 	2018	2237-5406		Objeto de Aprendizagem como Ferramenta na Produção Textual	Revista Praxis Pedagógica	ALMEIDA, L. H.; LEMOS, A. P. R. K. ; PORTO, N. C.	Qualis nao identificado	Revista Praxis Pedagógica
artigoEmPeriodico	 	2018	1981-925X		Aproximações entre Educação Integral e Ciência, Tecnologia e Sociedade (CTS)	Revista de Ciências Humanas em Educação	ALMEIDA, L. H.; MOLL, J.	B3	REVISTA DE CIÊNCIAS HUMANAS
artigoEmPeriodico	 	2018	1807-9652	http://dx.doi.org/10.5216/rbn.v14i2.48421	A Potencial use of edible mushrooms Pleurotus ostreatoroseus Singer (Pleurotaceae) and Lentinus sajor-caju (Fr.) Fr. (Polyporaceae) in metal remediation processes.	REVISTA DE BIOLOGIA NEOTROPICAL	ALVES, RODRIGO PAIDANO ; BOLSON, SIBELE MARQUES ; DE ALBUQUERQUE, MARGÉLI PEREIRA ; VICTORIA, FILIPE DE CARVALHO ; PEREIRA, ANTONIO BATISTA	Qualis nao identificado	REVISTA DE BIOLOGIA NEOTROPICAL
artigoEmPeriodico	 	2018	0024-4074	http://dx.doi.org/10.1093/botlinnean/boy063	Vascular plant species richness and distribution in the Río de la Plata grasslands	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	ANDRADE, B. O. ; MARCHESI, E. ; BURKART, S. ; SETUBAL, R. B. ; LEZAMA, F. ; PERELMAN, S. ; SCHNEIDER, A. A. ; TREVISAN, R. ; OVERBECK, G. E. ; BOLDRINI, I. I.	Qualis nao identificado	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY
artigoEmPeriodico	 	2018	1424-2818	http://dx.doi.org/10.3390/d10040107	First Record of Juncaceicola as Endophytic Fungi Associated with Deschampsia antarctica Desv.	DIVERSITY	DE ANDRADE, GUILHERME ; CAÑÓN, EHIDY ; ALVES, RODRIGO ; SCHMITZ, DANIELA ; SCHÜNEMANN, ADRIANO ; DE ALBUQUERQUE, MARGÉLI ; PUTZKE, JAIR ; PEREIRA, ANTÔNIO ; DE CARVALHO VICTORIA, FILIPE	Qualis nao identificado	DIVERSITY
artigoEmPeriodico	 	2018	1809-1636		Livros de Monteiro Lobato Enquanto Artefato Pedagógico no Ensino de Ciências	VIVÊNCIAS (URI. ERECHIM)	ARAUJO, S. C. ; SILVA, F. F. ; MARINHO, J. C. B.	B5	
artigoEmPeriodico	 	2018	2448-220X		Os coloridos líquens Antárticos: uma fonte de microorganismos de interesse biotecnológico	Informativo APECS - Brasil	BARROS, T. W. S. ; SILVA, M. K. ; SILVA JUNIOR, L. C. F. ; MENESES, M. E. S. ; SILVA, L. A. ; MONTONE, R. ; Putzke, J. ; ROSA, L. H. ; DUARTE, A. W. F.	Qualis nao identificado	Informativo APECS - Brasil
artigoEmPeriodico	 	2018	1676-0611	http://dx.doi.org/10.1590/1676-0611-bn-2018-0570	Tadpole of Pithecopus rusticus (Bruschi, Lucas, Garcia	BIOTA NEOTROPICA (ONLINE. EDIÇÃO EM INGLÊS)	BASTIANI, V. I. M. ; BOSCHETTI, J. ; Santos, Tiago Gomes dos ; Lucas, E.	Qualis nao identificado	BIOTA NEOTROPICA (ONLINE. EDIÇÃO EM INGLÊS)
artigoEmPeriodico	 	2018	2316-980X	http://dx.doi.org/10.5902/2316980x31133	Necessidade de ajustes no sistema de recomendação de calagem e adubação de oliveiras (<em>Olea europaea</em> L.) no sul do Brasil	ECOLOGIA E NUTRIÇÃO FLORESTAL	BENDER, D. D. B. B. ; VIEIRA, F. C. B. ; WEBER, Mirla Andrade	Qualis nao identificado	ECOLOGIA E NUTRIÇÃO FLORESTAL
artigoEmPeriodico	 	2018	0967-3849	http://dx.doi.org/10.1007/s10577-018-9592-1	Distribution of CR1-like transposable element in woodpeckers (Aves Piciformes): Z sex chromosomes can act as a refuge for transposable elements	CHROMOSOME RESEARCH	BERTOCCHI, NATASHA AVILA ; DE OLIVEIRA, THAYS DUARTE ; DEL VALLE GARNERO, ANALÍA ; COAN, RAFAEL LUIZ BUOGO ; GUNSKI, RICARDO JOSÉ ; MARTINS, CESAR ; TORRES, FABIANO PIMENTEL	Qualis nao identificado	CHROMOSOME RESEARCH
artigoEmPeriodico	 	2018	2175-7860	http://dx.doi.org/10.1590/2175-7860201869402	Brazilian Flora 2020: Innovation and collaboration to meet Target 1 of the Global Strategy for Plant Conservation (GSPC)	Rodriguesia	BFG - The Brazil Flora Group; SCHNEIDER, A.	Qualis nao identificado	Rodriguesia
